Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
AgPd7_SG225_211_2_top-t-2    2.832    2.82    0.94    2.78    9.0    1    -1.59    1.349    5.105    8.337    0.562    9.295    0.79    2.2    1.801    0.14    this work
AgPd7_SG225_211_2_top-t-3    2.832    2.814    0.94    2.78    9.0    1    -1.606    1.362    5.105    8.337    0.562    9.273    0.778    2.2    2.074    0.123    this work
AgPd7_SG225_211_2_top-t-4    2.832    2.814    0.94    2.78    9.0    1    -1.606    1.362    5.105    8.337    0.562    9.273    0.778    2.2    2.074    0.123    this work
AuCu3_SG221_211_1_bridge1-s-1    2.711    2.672    0.67    1.0    8.0    2    -2.178    0.991    4.762    7.726    1.236    9.787    1.191    1.9    0.091    0.235    this work
AuCu3_SG221_211_1_bridge1-s-2    2.711    2.691    0.84    2.175    8.0    2    -2.92    1.328    4.762    8.476    1.772    9.725    1.195    2.22    0.089    0.238    this work
AuCu3_SG221_211_1_bridge1-t-1    2.711    2.694    0.67    1.0    9.5    2    -2.264    1.058    4.762    7.726    1.236    9.767    1.273    1.9    0.1    0.219    this work
AuCu3_SG221_211_1_bridge1-t-2    2.711    2.713    0.84    2.175    9.5    2    -3.006    1.394    4.762    8.476    1.772    9.705    1.277    2.22    0.098    0.222    this work
AuCu3_SG221_211_1_bridge2-s-1    2.711    2.661    0.67    1.0    7.0    2    -2.126    0.935    4.762    7.726    1.236    9.789    1.127    1.9    0.084    0.245    this work
AuCu3_SG221_211_1_bridge2-s-2    2.711    2.661    0.67    1.0    7.0    2    -2.126    0.935    4.762    7.726    1.236    9.789    1.127    1.9    0.084    0.245    this work
AuCu3_SG221_211_1_bridge2-t    2.711    2.702    0.84    2.175    9.0    2    -2.973    1.384    4.762    8.476    1.772    9.723    1.259    2.22    0.095    0.228    this work
AuCu3_SG221_211_1_fcc-s    2.711    2.689    0.783    1.783    8.333    3    -2.69    1.234    4.762    8.226    1.594    9.745    1.215    2.113    0.092    0.234    this work
AuCu3_SG221_211_1_fcc-t-1    2.711    2.71    0.783    1.783    9.667    3    -2.77    1.285    4.762    8.226    1.594    9.719    1.282    2.113    0.1    0.219    this work
AuCu3_SG221_211_1_fcc-t-2    2.711    2.698    0.67    1.0    9.667    3    -2.275    1.061    4.762    7.726    1.236    9.761    1.279    1.9    0.101    0.217    this work
AuCu3_SG221_211_1_four-fold-s-1    2.711    2.683    0.67    1.0    8.5    4    -2.211    1.002    4.762    7.726    1.236    9.769    1.209    1.9    0.094    0.229    this work
AuCu3_SG221_211_1_four-fold-s-2    2.711    2.683    0.67    1.0    8.5    4    -2.211    1.002    4.762    7.726    1.236    9.769    1.209    1.9    0.094    0.229    this work
AuCu3_SG221_211_1_hcp-s-1    2.711    2.681    0.783    1.783    7.667    3    -2.655    1.197    4.762    8.226    1.594    9.746    1.172    2.113    0.087    0.24    this work
AuCu3_SG221_211_1_hcp-s-2    2.711    2.669    0.67    1.0    7.667    3    -2.161    0.972    4.762    7.726    1.236    9.787    1.17    1.9    0.088    0.238    this work
AuCu3_SG221_211_1_hcp-t    2.711    2.703    0.783    1.783    9.333    3    -2.747    1.278    4.762    8.226    1.594    9.731    1.27    2.113    0.098    0.223    this work
AuCu3_SG221_211_1_top-s    2.711    2.661    0.67    1.0    7.0    1    -2.126    0.935    4.762    7.726    1.236    9.789    1.127    1.9    0.084    0.245    this work
AuCu3_SG221_211_1_top-t-1    2.711    2.684    0.67    1.0    9.0    1    -2.231    1.047    4.762    7.726    1.236    9.785    1.255    1.9    0.097    0.225    this work
AuCu3_SG221_211_1_top-t-2    2.711    2.721    1.01    3.35    9.0    1    -3.714    1.72    4.762    9.226    2.309    9.661    1.263    2.54    0.093    0.231    this work
AuCu3_SG221_211_2_bridge1-s-1    2.711    2.689    0.84    2.175    8.0    2    -2.916    1.272    4.911    8.476    1.772    9.69    1.196    2.22    0.097    0.262    this work
AuCu3_SG221_211_2_bridge1-s-2    2.711    2.648    0.67    1.0    8.0    2    -2.221    1.031    4.911    7.726    1.236    9.738    1.226    1.9    0.104    0.248    this work
AuCu3_SG221_211_2_bridge1-t-1    2.711    2.693    0.67    1.0    9.5    2    -2.277    1.088    4.911    7.726    1.236    9.681    1.273    1.9    0.103    0.229    this work
AuCu3_SG221_211_2_bridge1-t-2    2.711    2.701    0.84    2.175    9.5    2    -3.044    1.476    4.911    8.476    1.772    9.644    1.267    2.22    0.105    0.223    this work
AuCu3_SG221_211_2_bridge2-s    2.711    2.66    0.84    2.175    7.0    2    -2.886    1.231    4.911    8.476    1.772    9.679    1.174    2.22    0.087    0.279    this work
AuCu3_SG221_211_2_bridge2-t-1    2.711    2.677    0.67    1.0    9.0    2    -2.251    1.071    4.911    7.726    1.236    9.749    1.248    1.9    0.113    0.23    this work
AuCu3_SG221_211_2_bridge2-t-2    2.711    2.677    0.67    1.0    9.0    2    -2.251    1.071    4.911    7.726    1.236    9.749    1.248    1.9    0.113    0.23    this work
AuCu3_SG221_211_2_fcc-s-1    2.711    2.658    0.67    1.0    8.333    3    -2.231    1.044    4.911    7.726    1.236    9.741    1.233    1.9    0.107    0.242    this work
AuCu3_SG221_211_2_fcc-s-2    2.711    2.685    0.783    1.783    8.333    3    -2.694    1.205    4.911    8.226    1.594    9.71    1.213    2.113    0.102    0.252    this work
AuCu3_SG221_211_2_fcc-t    2.711    2.704    0.783    1.783    9.667    3    -2.797    1.352    4.911    8.226    1.594    9.634    1.277    2.113    0.101    0.224    this work
AuCu3_SG221_211_2_four-fold-s    2.711    2.689    0.84    2.175    8.5    4    -2.978    1.362    4.911    8.476    1.772    9.628    1.233    2.22    0.091    0.25    this work
AuCu3_SG221_211_2_hcp-s    2.711    2.666    0.783    1.783    7.667    3    -2.674    1.178    4.911    8.226    1.594    9.702    1.199    2.113    0.096    0.263    this work
AuCu3_SG221_211_2_hcp-t-1    2.711    2.693    0.783    1.783    9.333    3    -2.78    1.341    4.911    8.226    1.594    9.679    1.26    2.113    0.108    0.225    this work
AuCu3_SG221_211_2_hcp-t-2    2.711    2.688    0.67    1.0    9.333    3    -2.269    1.082    4.911    7.726    1.236    9.704    1.264    1.9    0.106    0.229    this work
AuCu3_SG221_211_2_top-s-1    2.711    2.701    1.01    3.35    7.0    1    -3.58    1.472    4.911    9.226    2.309    9.632    1.144    2.54    0.08    0.294    this work
AuCu3_SG221_211_2_top-s-2    2.711    2.619    0.67    1.0    7.0    1    -2.191    0.99    4.911    7.726    1.236    9.727    1.205    1.9    0.094    0.265    this work
AuCu3_SG221_211_2_top-t    2.711    2.677    0.67    1.0    9.0    1    -2.251    1.071    4.911    7.726    1.236    9.749    1.248    1.9    0.113    0.23    this work
AuCu7_SG225_211_1_bridge1-s-1    2.659    2.629    0.67    1.0    8.0    2    -2.241    0.997    4.744    7.726    1.236    9.761    1.182    1.9    0.091    0.247    this work
AuCu7_SG225_211_1_bridge1-s-2    2.659    2.619    0.67    1.0    8.0    2    -2.263    0.994    4.744    7.726    1.236    9.791    1.189    1.9    0.092    0.251    this work
AuCu7_SG225_211_1_bridge1-s-3    2.659    2.613    0.67    1.0    8.0    2    -2.289    1.011    4.744    7.726    1.236    9.804    1.201    1.9    0.094    0.237    this work
AuCu7_SG225_211_1_bridge1-s-4    2.659    2.646    0.84    2.175    8.0    2    -2.997    1.372    4.744    8.476    1.772    9.633    1.185    2.22    0.093    0.24    this work
AuCu7_SG225_211_1_bridge1-t-1    2.659    2.639    0.67    1.0    9.5    2    -2.339    1.079    4.744    7.726    1.236    9.75    1.265    1.9    0.1    0.224    this work
AuCu7_SG225_211_1_bridge1-t-2    2.659    2.629    0.67    1.0    9.5    2    -2.361    1.076    4.744    7.726    1.236    9.78    1.271    1.9    0.101    0.229    this work
AuCu7_SG225_211_1_bridge1-t-3    2.659    2.647    0.67    1.0    9.5    2    -2.372    1.085    4.744    7.726    1.236    9.767    1.275    1.9    0.103    0.221    this work
AuCu7_SG225_211_1_bridge1-t-4    2.659    2.68    0.84    2.175    9.5    2    -3.08    1.447    4.744    8.476    1.772    9.596    1.26    2.22    0.102    0.223    this work
AuCu7_SG225_211_1_bridge2-s-1    2.659    2.629    0.67    1.0    7.0    2    -2.186    0.928    4.744    7.726    1.236    9.769    1.122    1.9    0.084    0.265    this work
AuCu7_SG225_211_1_bridge2-s-2    2.659    2.629    0.67    1.0    7.0    2    -2.186    0.928    4.744    7.726    1.236    9.769    1.122    1.9    0.084    0.265    this work
AuCu7_SG225_211_1_bridge2-s-3    2.659    2.594    0.67    1.0    7.0    2    -2.234    0.954    4.744    7.726    1.236    9.807    1.14    1.9    0.088    0.244    this work
AuCu7_SG225_211_1_bridge2-s-4    2.659    2.594    0.67    1.0    7.0    2    -2.234    0.954    4.744    7.726    1.236    9.807    1.14    1.9    0.088    0.244    this work
AuCu7_SG225_211_1_bridge2-t-1    2.659    2.619    0.67    1.0    9.0    2    -2.318    1.063    4.744    7.726    1.236    9.783    1.249    1.9    0.099    0.233    this work
AuCu7_SG225_211_1_bridge2-t-2    2.659    2.665    0.84    2.175    9.0    2    -3.052    1.429    4.744    8.476    1.772    9.63    1.246    2.22    0.099    0.233    this work
AuCu7_SG225_211_1_fcc-s-1    2.659    2.623    0.67    1.0    8.333    3    -2.274    1.018    4.744    7.726    1.236    9.778    1.207    1.9    0.094    0.244    this work
AuCu7_SG225_211_1_fcc-s-2    2.659    2.641    0.783    1.783    8.333    3    -2.779    1.271    4.744    8.226    1.594    9.689    1.211    2.113    0.096    0.237    this work
AuCu7_SG225_211_1_fcc-t-1    2.659    2.635    0.67    1.0    9.667    3    -2.368    1.081    4.744    7.726    1.236    9.769    1.277    1.9    0.102    0.226    this work
AuCu7_SG225_211_1_fcc-t-2    2.659    2.642    0.67    1.0    9.667    3    -2.353    1.083    4.744    7.726    1.236    9.749    1.273    1.9    0.101    0.223    this work
AuCu7_SG225_211_1_fcc-t-3    2.659    2.674    0.783    1.783    9.667    3    -2.853    1.332    4.744    8.226    1.594    9.642    1.269    2.113    0.103    0.219    this work
AuCu7_SG225_211_1_fcc-t-4    2.659    2.652    0.67    1.0    9.667    3    -2.381    1.091    4.744    7.726    1.236    9.756    1.279    1.9    0.103    0.218    this work
AuCu7_SG225_211_1_four-fold-s-1    2.659    2.646    0.67    1.0    8.5    4    -2.293    1.016    4.744    7.726    1.236    9.751    1.205    1.9    0.095    0.238    this work
AuCu7_SG225_211_1_four-fold-s-2    2.659    2.646    0.67    1.0    8.5    4    -2.293    1.016    4.744    7.726    1.236    9.751    1.205    1.9    0.095    0.238    this work
AuCu7_SG225_211_1_four-fold-s-3    2.659    2.621    0.67    1.0    8.5    4    -2.308    1.023    4.744    7.726    1.236    9.777    1.214    1.9    0.096    0.232    this work
AuCu7_SG225_211_1_four-fold-s-4    2.659    2.621    0.67    1.0    8.5    4    -2.308    1.023    4.744    7.726    1.236    9.777    1.214    1.9    0.096    0.232    this work
AuCu7_SG225_211_1_hcp-s-1    2.659    2.623    0.67    1.0    7.667    3    -2.237    0.972    4.744    7.726    1.236    9.784    1.166    1.9    0.089    0.256    this work
AuCu7_SG225_211_1_hcp-s-2    2.659    2.629    0.67    1.0    7.667    3    -2.222    0.974    4.744    7.726    1.236    9.764    1.162    1.9    0.089    0.253    this work
AuCu7_SG225_211_1_hcp-s-3    2.659    2.629    0.783    1.783    7.667    3    -2.742    1.233    4.744    8.226    1.594    9.691    1.17    2.113    0.092    0.241    this work
AuCu7_SG225_211_1_hcp-s-4    2.659    2.607    0.67    1.0    7.667    3    -2.271    0.992    4.744    7.726    1.236    9.805    1.181    1.9    0.092    0.24    this work
AuCu7_SG225_211_1_hcp-t-1    2.659    2.629    0.67    1.0    9.333    3    -2.339    1.072    4.744    7.726    1.236    9.771    1.262    1.9    0.1    0.229    this work
AuCu7_SG225_211_1_hcp-t-2    2.659    2.664    0.783    1.783    9.333    3    -2.835    1.321    4.744    8.226    1.594    9.664    1.26    2.113    0.101    0.226    this work
AuCu7_SG225_211_1_top-s-1    2.659    2.629    0.67    1.0    7.0    1    -2.186    0.928    4.744    7.726    1.236    9.769    1.122    1.9    0.084    0.265    this work
AuCu7_SG225_211_1_top-s-2    2.659    2.594    0.67    1.0    7.0    1    -2.234    0.954    4.744    7.726    1.236    9.807    1.14    1.9    0.088    0.244    this work
AuCu7_SG225_211_1_top-t-1    2.659    2.629    0.67    1.0    9.0    1    -2.296    1.066    4.744    7.726    1.236    9.753    1.243    1.9    0.098    0.229    this work
AuCu7_SG225_211_1_top-t-2    2.659    2.609    0.67    1.0    9.0    1    -2.34    1.06    4.744    7.726    1.236    9.813    1.255    1.9    0.099    0.238    this work
AuCu7_SG225_211_1_top-t-3    2.659    2.632    0.67    1.0    9.0    1    -2.345    1.068    4.744    7.726    1.236    9.801    1.262    1.9    0.1    0.23    this work
AuCu7_SG225_211_1_top-t-4    2.659    2.698    1.01    3.35    9.0    1    -3.76    1.791    4.744    9.226    2.309    9.459    1.231    2.54    0.099    0.235    this work
AuCu7_SG225_211_2_bridge1-s-1    2.659    2.656    0.84    2.175    8.0    2    -3.001    1.275    4.826    8.476    1.772    9.623    1.188    2.22    0.1    0.266    this work
AuCu7_SG225_211_2_bridge1-s-2    2.659    2.616    0.67    1.0    8.0    2    -2.301    1.024    4.826    7.726    1.236    9.606    1.207    1.9    0.103    0.253    this work
AuCu7_SG225_211_2_bridge1-s-3    2.659    2.616    0.67    1.0    8.0    2    -2.265    0.992    4.826    7.726    1.236    9.553    1.163    1.9    0.094    0.261    this work
AuCu7_SG225_211_2_bridge1-s-4    2.659    2.608    0.67    1.0    8.0    2    -2.273    1.018    4.826    7.726    1.236    9.553    1.183    1.9    0.097    0.257    this work
AuCu7_SG225_211_2_bridge1-t-1    2.659    2.641    0.67    1.0    9.5    2    -2.38    1.088    4.826    7.726    1.236    9.625    1.272    1.9    0.105    0.23    this work
AuCu7_SG225_211_2_bridge1-t-2    2.659    2.668    0.84    2.175    9.5    2    -3.122    1.476    4.826    8.476    1.772    9.55    1.26    2.22    0.112    0.218    this work
AuCu7_SG225_211_2_bridge1-t-3    2.659    2.643    0.67    1.0    9.5    2    -2.362    1.087    4.826    7.726    1.236    9.576    1.254    1.9    0.1    0.236    this work
AuCu7_SG225_211_2_bridge1-t-4    2.659    2.632    0.67    1.0    9.5    2    -2.372    1.074    4.826    7.726    1.236    9.582    1.243    1.9    0.1    0.236    this work
AuCu7_SG225_211_2_bridge2-s-1    2.659    2.641    0.84    2.175    7.0    2    -2.941    1.241    4.826    8.476    1.772    9.607    1.145    2.22    0.092    0.287    this work
AuCu7_SG225_211_2_bridge2-s-2    2.659    2.589    0.67    1.0    7.0    2    -2.231    0.95    4.826    7.726    1.236    9.562    1.13    1.9    0.086    0.273    this work
AuCu7_SG225_211_2_bridge2-t-1    2.659    2.63    0.67    1.0    9.0    2    -2.361    1.059    4.826    7.726    1.236    9.621    1.251    1.9    0.111    0.232    this work
AuCu7_SG225_211_2_bridge2-t-2    2.659    2.63    0.67    1.0    9.0    2    -2.361    1.059    4.826    7.726    1.236    9.621    1.251    1.9    0.111    0.232    this work
AuCu7_SG225_211_2_bridge2-t-3    2.659    2.635    0.67    1.0    9.0    2    -2.307    1.06    4.826    7.726    1.236    9.544    1.216    1.9    0.106    0.244    this work
AuCu7_SG225_211_2_bridge2-t-4    2.659    2.635    0.67    1.0    9.0    2    -2.307    1.06    4.826    7.726    1.236    9.544    1.216    1.9    0.106    0.244    this work
AuCu7_SG225_211_2_fcc-s-1    2.659    2.62    0.67    1.0    8.333    3    -2.321    1.036    4.826    7.726    1.236    9.611    1.222    1.9    0.106    0.246    this work
AuCu7_SG225_211_2_fcc-s-2    2.659    2.647    0.783    1.783    8.333    3    -2.788    1.203    4.826    8.226    1.594    9.622    1.209    2.113    0.103    0.254    this work
AuCu7_SG225_211_2_fcc-s-3    2.659    2.617    0.67    1.0    8.333    3    -2.284    1.032    4.826    7.726    1.236    9.55    1.194    1.9    0.1    0.253    this work
AuCu7_SG225_211_2_fcc-s-4    2.659    2.622    0.67    1.0    8.333    3    -2.279    1.014    4.826    7.726    1.236    9.55    1.181    1.9    0.098    0.255    this work
AuCu7_SG225_211_2_fcc-t-1    2.659    2.663    0.783    1.783    9.667    3    -2.881    1.356    4.826    8.226    1.594    9.576    1.271    2.113    0.107    0.222    this work
AuCu7_SG225_211_2_fcc-t-2    2.659    2.638    0.67    1.0    9.667    3    -2.388    1.087    4.826    7.726    1.236    9.591    1.259    1.9    0.099    0.233    this work
AuCu7_SG225_211_2_four-fold-s-1    2.659    2.641    0.755    1.587    8.5    4    -2.684    1.171    4.826    8.101    1.504    9.61    1.213    2.06    0.094    0.257    this work
AuCu7_SG225_211_2_four-fold-s-2    2.659    2.634    0.755    1.587    8.5    4    -2.686    1.227    4.826    8.101    1.504    9.558    1.206    2.06    0.095    0.245    this work
AuCu7_SG225_211_2_hcp-s-1    2.659    2.637    0.783    1.783    7.667    3    -2.748    1.18    4.826    8.226    1.594    9.612    1.18    2.113    0.098    0.269    this work
AuCu7_SG225_211_2_hcp-s-2    2.659    2.604    0.67    1.0    7.667    3    -2.256    0.986    4.826    7.726    1.236    9.556    1.159    1.9    0.092    0.264    this work
AuCu7_SG225_211_2_hcp-t-1    2.659    2.655    0.783    1.783    9.333    3    -2.868    1.337    4.826    8.226    1.594    9.574    1.257    2.113    0.111    0.223    this work
AuCu7_SG225_211_2_hcp-t-2    2.659    2.637    0.67    1.0    9.333    3    -2.374    1.079    4.826    7.726    1.236    9.624    1.265    1.9    0.107    0.231    this work
AuCu7_SG225_211_2_hcp-t-3    2.659    2.633    0.67    1.0    9.333    3    -2.351    1.069    4.826    7.726    1.236    9.569    1.234    1.9    0.102    0.239    this work
AuCu7_SG225_211_2_hcp-t-4    2.659    2.641    0.67    1.0    9.333    3    -2.344    1.078    4.826    7.726    1.236    9.566    1.241    1.9    0.102    0.239    this work
AuCu7_SG225_211_2_top-s-1    2.659    2.681    1.01    3.35    7.0    1    -3.642    1.491    4.826    9.226    2.309    9.624    1.126    2.54    0.089    0.3    this work
AuCu7_SG225_211_2_top-s-2    2.659    2.601    0.67    1.0    7.0    1    -2.24    0.99    4.826    7.726    1.236    9.59    1.164    1.9    0.096    0.274    this work
AuCu7_SG225_211_2_top-s-3    2.659    2.596    0.67    1.0    7.0    1    -2.223    0.923    4.826    7.726    1.236    9.563    1.11    1.9    0.083    0.277    this work
AuCu7_SG225_211_2_top-s-4    2.659    2.581    0.67    1.0    7.0    1    -2.239    0.976    4.826    7.726    1.236    9.562    1.151    1.9    0.088    0.269    this work
AuCu7_SG225_211_2_top-t-1    2.659    2.63    0.67    1.0    9.0    1    -2.361    1.059    4.826    7.726    1.236    9.621    1.251    1.9    0.111    0.232    this work
AuCu7_SG225_211_2_top-t-2    2.659    2.63    0.67    1.0    9.0    1    -2.361    1.059    4.826    7.726    1.236    9.621    1.251    1.9    0.111    0.232    this work
AuCu7_SG225_211_2_top-t-3    2.659    2.635    0.67    1.0    9.0    1    -2.307    1.06    4.826    7.726    1.236    9.544    1.216    1.9    0.106    0.244    this work
AuCu7_SG225_211_2_top-t-4    2.659    2.635    0.67    1.0    9.0    1    -2.307    1.06    4.826    7.726    1.236    9.544    1.216    1.9    0.106    0.244    this work
AuPd_SG187_0001_1_bridge1-s    2.902    2.903    1.01    3.35    8.0    2    -2.996    1.35    5.336    9.226    2.309    9.722    1.159    2.54    0.069    0.19    this work
AuPd_SG187_0001_1_bridge1-t    2.902    2.889    0.94    2.78    9.5    2    -1.443    1.413    5.336    8.337    0.562    9.237    0.809    2.2    1.113    0.108    this work
AuPd_SG187_0001_1_bridge2-s    2.902    2.884    1.01    3.35    7.0    2    -2.894    1.298    5.336    9.226    2.309    9.737    1.111    2.54    0.071    0.212    this work
AuPd_SG187_0001_1_bridge2-t-1    2.902    2.879    0.94    2.78    9.0    2    -1.43    1.381    5.336    8.337    0.562    9.253    0.772    2.2    1.181    0.109    this work
