Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
AgPd7_SG225_211_1_hcp-s-1    2.832    2.81    0.94    2.78    7.667    3    -1.493    1.261    5.165    8.337    0.562    9.283    0.711    2.2    1.855    0.146    this work
AgPd7_SG225_211_1_hcp-s-2    2.832    2.813    0.94    2.78    7.667    3    -1.488    1.257    5.165    8.337    0.562    9.279    0.707    2.2    1.884    0.146    this work
AgPd7_SG225_211_1_hcp-s-3    2.832    2.825    0.923    2.607    7.667    3    -2.079    1.189    5.165    8.083    0.809    9.566    0.762    2.11    1.231    0.15    this work
AgPd7_SG225_211_1_hcp-s-4    2.832    2.807    0.94    2.78    7.667    3    -1.51    1.267    5.165    8.337    0.562    9.359    0.72    2.2    1.771    0.153    this work
AgPd7_SG225_211_1_hcp-t-1    2.832    2.824    0.94    2.78    9.333    3    -1.636    1.367    5.165    8.337    0.562    9.254    0.793    2.2    2.017    0.119    this work
AgPd7_SG225_211_1_hcp-t-2    2.832    2.845    0.923    2.607    9.333    3    -2.195    1.285    5.165    8.083    0.809    9.485    0.841    2.11    1.138    0.133    this work
AgPd7_SG225_211_1_top-s-1    2.832    2.808    0.94    2.78    7.0    1    -1.437    1.212    5.165    8.337    0.562    9.276    0.675    2.2    1.769    0.157    this work
AgPd7_SG225_211_1_top-s-2    2.832    2.8    0.94    2.78    7.0    1    -1.465    1.225    5.165    8.337    0.562    9.381    0.688    2.2    1.8    0.158    this work
AgPd7_SG225_211_1_top-t-1    2.832    2.821    0.94    2.78    9.0    1    -1.59    1.346    5.165    8.337    0.562    9.286    0.771    2.2    2.115    0.123    this work
AgPd7_SG225_211_1_top-t-2    2.832    2.814    0.94    2.78    9.0    1    -1.605    1.358    5.165    8.337    0.562    9.296    0.783    2.2    2.028    0.125    this work
AgPd7_SG225_211_1_top-t-3    2.832    2.82    0.94    2.78    9.0    1    -1.601    1.353    5.165    8.337    0.562    9.315    0.784    2.2    1.712    0.142    this work
AgPd7_SG225_211_1_top-t-4    2.832    2.875    0.89    2.26    9.0    1    -3.307    1.118    5.165    7.576    1.304    9.937    0.909    1.93    0.093    0.135    this work
AgPd7_SG225_211_2_bridge1-s-1    2.832    2.844    0.915    2.52    8.0    2    -2.461    1.148    5.105    7.957    0.933    9.56    0.799    2.065    0.945    0.16    this work
AgPd7_SG225_211_2_bridge1-s-2    2.832    2.808    0.94    2.78    8.0    2    -1.499    1.307    5.105    8.337    0.562    9.323    0.747    2.2    1.764    0.154    this work
AgPd7_SG225_211_2_bridge1-s-3    2.832    2.807    0.94    2.78    8.0    2    -1.53    1.294    5.105    8.337    0.562    9.313    0.736    2.2    2.138    0.141    this work
AgPd7_SG225_211_2_bridge1-s-4    2.832    2.804    0.94    2.78    8.0    2    -1.518    1.313    5.105    8.337    0.562    9.317    0.729    2.2    2.056    0.143    this work
AgPd7_SG225_211_2_bridge1-t-1    2.832    2.828    0.94    2.78    9.5    2    -1.635    1.368    5.105    8.337    0.562    9.291    0.81    2.2    1.894    0.131    this work
AgPd7_SG225_211_2_bridge1-t-2    2.832    2.848    0.915    2.52    9.5    2    -2.471    1.282    5.105    7.957    0.933    9.518    0.875    2.065    0.964    0.13    this work
