Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
O_Pd_211_hcp-t    1.495    2.819    2.814    0.94    2.78    9.333    3    -1.677    1.386    5.21    8.337    0.562    9.276    0.789    2.2    2.252    0.12    10.1021/acscatal.8b04478
O_Pd@Ir_211_bridge2-s-1    0.339    2.753    2.742    1.01    3.615    7.0    2    -1.915    2.013    5.462    8.729    1.063    8.502    1.017    2.2    1.179    0.218    10.1021/acscatal.8b04478
O_Pd@Ir_211_bridge2-s-2    0.106    2.753    2.692    1.08    4.45    7.0    2    -1.717    2.428    5.462    9.121    1.564    7.798    1.203    2.2    1.659    0.262    10.1021/acscatal.8b04478
O_Pd@Ir_211_fcc-s-1    0.821    2.753    2.747    1.033    3.893    8.333    3    -1.997    2.273    5.462    8.86    1.23    8.196    1.139    2.2    1.148    0.152    10.1021/acscatal.8b04478
O_Pd@Ir_211_fcc-s-2    0.655    2.753    2.708    1.08    4.45    8.333    3    -1.881    2.611    5.462    9.121    1.564    7.715    1.264    2.2    1.446    0.175    10.1021/acscatal.8b04478
O_Pd@Ir_211_fcc-t-1    1.16    2.753    2.741    1.08    4.45    9.667    3    -1.974    2.689    5.462    9.121    1.564    7.696    1.311    2.2    1.347    0.117    10.1021/acscatal.8b04478
O_Pd@Ir_211_fcc-t-2    1.17    2.753    2.738    1.08    4.45    9.667    3    -2.002    2.753    5.462    9.121    1.564    7.677    1.317    2.2    1.302    0.108    10.1021/acscatal.8b04478
O_Pd@Ir_211_hcp-s-1    0.648    2.753    2.736    1.033    3.893    7.667    3    -1.923    2.212    5.462    8.86    1.23    8.232    1.109    2.2    1.243    0.192    10.1021/acscatal.8b04478
O_Pd@Ir_211_hcp-s-2    0.668    2.753    2.697    1.08    4.45    7.667    3    -1.806    2.55    5.462    9.121    1.564    7.751    1.234    2.2    1.541    0.215    10.1021/acscatal.8b04478
O_Pd@Ir_211_hcp-t-1    0.984    2.753    2.732    1.08    4.45    9.333    3    -1.95    2.648    5.462    9.121    1.564    7.697    1.299    2.2    1.372    0.13    10.1021/acscatal.8b04478
O_Pd@Ir_211_hcp-t-2    1.139    2.753    2.729    1.08    4.45    9.333    3    -1.978    2.712    5.462    9.121    1.564    7.678    1.305    2.2    1.326    0.121    10.1021/acscatal.8b04478
O_Pt_211_bridge2-s    1.13    2.838    2.781    1.04    3.9    7.0    2    -1.895    1.891    5.75    8.959    2.125    8.812    1.101    2.28    1.72    0.176    10.1021/acscatal.8b04478
O_Pt_211_fcc-s    1.42    2.838    2.807    1.04    3.9    8.333    3    -1.989    2.003    5.75    8.959    2.125    8.786    1.167    2.28    1.766    0.145    10.1021/acscatal.8b04478
O_Pt_211_fcc-t    1.937    2.838    2.842    1.04    3.9    9.667    3    -2.076    2.073    5.75    8.959    2.125    8.792    1.219    2.28    1.579    0.106    10.1021/acscatal.8b04478
O_Pt_211_hcp-t    1.97    2.838    2.831    1.04    3.9    9.333    3    -2.056    2.066    5.75    8.959    2.125    8.78    1.21    2.28    1.684    0.118    10.1021/acscatal.8b04478
O_Pt@Rh_211_bridge2-s-1    0.669    2.734    2.714    1.015    3.61    7.0    2    -1.667    1.96    5.191    8.209    1.634    8.369    1.009    2.28    1.633    0.221    10.1021/acscatal.8b04478
O_Pt@Rh_211_bridge2-s-2    0.311    2.734    2.696    0.99    3.32    7.0    2    -1.293    2.108    5.191    7.459    1.143    7.953    1.01    2.28    2.157    0.231    10.1021/acscatal.8b04478
O_Pt@Rh_211_fcc-s-1    0.935    2.734    2.72    1.007    3.513    8.333    3    -1.66    2.171    5.191    7.959    1.47    8.173    1.081    2.28    1.629    0.163    10.1021/acscatal.8b04478
O_Pt@Rh_211_fcc-s-2    0.582    2.734    2.704    0.99    3.32    8.333    3    -1.418    2.273    5.191    7.459    1.143    7.892    1.074    2.28    1.975    0.168    10.1021/acscatal.8b04478
O_Pt@Rh_211_fcc-t-1    0.867    2.734    2.727    0.99    3.32    9.667    3    -1.484    2.446    5.191    7.459    1.143    7.849    1.141    2.28    1.818    0.117    10.1021/acscatal.8b04478
O_Pt@Rh_211_fcc-t-2    0.799    2.734    2.722    0.99    3.32    9.667    3    -1.497    2.45    5.191    7.459    1.143    7.841    1.123    2.28    1.822    0.115    10.1021/acscatal.8b04478
O_Pt@Rh_211_hcp-s-1    0.756    2.734    2.714    1.007    3.513    7.667    3    -1.601    2.09    5.191    7.959    1.47    8.201    1.045    2.28    1.719    0.194    10.1021/acscatal.8b04478
O_Pt@Rh_211_hcp-s-2    0.395    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.192    5.191    7.459    1.143    7.921    1.038    2.28    2.064    0.199    10.1021/acscatal.8b04478
O_Pt@Rh_211_hcp-t-1    0.761    2.734    2.721    0.99    3.32    9.333    3    -1.474    2.398    5.191    7.459    1.143    7.86    1.134    2.28    1.85    0.129    10.1021/acscatal.8b04478
O_Pt@Rh_211_hcp-t-2    0.729    2.734    2.716    0.99    3.32    9.333    3    -1.487    2.402    5.191    7.459    1.143    7.852    1.116    2.28    1.854    0.127    10.1021/acscatal.8b04478
O_PtRh_211_bridge2-s-1    0.735    2.783    2.739    1.015    3.61    7.0    2    -1.617    1.974    5.395    8.209    1.634    8.421    1.065    2.28    1.865    0.212    10.1021/acscatal.8b04478
O_PtRh_211_bridge2-s-2    0.673    2.783    2.739    1.015    3.61    7.0    2    -1.617    1.974    5.395    8.209    1.634    8.421    1.065    2.28    1.865    0.212    10.1021/acscatal.8b04478
O_PtRh_211_fcc-s-1    1.255    2.783    2.758    1.023    3.707    8.333    3    -1.871    2.11    5.395    8.459    1.798    8.491    1.122    2.28    1.803    0.159    10.1021/acscatal.8b04478
O_PtRh_211_fcc-s-2    0.765    2.783    2.75    1.007    3.513    8.333    3    -1.619    2.166    5.395    7.959    1.47    8.23    1.143    2.28    2.133    0.16    10.1021/acscatal.8b04478
O_PtRh_211_fcc-t-1    1.142    2.783    2.779    1.007    3.513    9.667    3    -1.69    2.284    5.395    7.959    1.47    8.177    1.208    2.28    2.017    0.114    10.1021/acscatal.8b04478
O_PtRh_211_fcc-t-2    1.614    2.783    2.785    1.023    3.707    9.667    3    -1.955    2.239    5.395    8.459    1.798    8.442    1.177    2.28    1.687    0.11    10.1021/acscatal.8b04478
O_PtRh_211_hcp-s-1    0.755    2.783    2.744    1.007    3.513    7.667    3    -1.549    2.078    5.395    7.959    1.47    8.258    1.115    2.28    2.082    0.188    10.1021/acscatal.8b04478
O_PtRh_211_hcp-t-1    1.11    2.783    2.77    1.007    3.513    9.333    3    -1.666    2.268    5.395    7.959    1.47    8.19    1.2    2.28    2.076    0.126    10.1021/acscatal.8b04478
O_PtRh_211_hcp-t-2    1.632    2.783    2.773    1.023    3.707    9.333    3    -1.966    2.213    5.395    8.459    1.798    8.449    1.158    2.28    1.796    0.119    10.1021/acscatal.8b04478
O_Rh_211_bridge2-s    0.265    2.734    2.694    0.99    3.32    7.0    2    -1.293    2.099    5.078    7.459    1.143    7.969    0.987    2.28    2.07    0.24    10.1021/acscatal.8b04478
O_Rh_211_fcc-s    0.571    2.734    2.703    0.99    3.32    8.333    3    -1.426    2.27    5.078    7.459    1.143    7.906    1.063    2.28    1.918    0.171    10.1021/acscatal.8b04478
O_Rh_211_fcc-t    0.772    2.734    2.725    0.99    3.32    9.667    3    -1.496    2.419    5.078    7.459    1.143    7.858    1.13    2.28    1.796    0.116    10.1021/acscatal.8b04478
O_Rh_211_hcp-s    0.337    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.184    5.078    7.459    1.143    7.937    1.025    2.28    1.994    0.206    10.1021/acscatal.8b04478
O_Rh_211_hcp-t    0.693    2.734    2.716    0.99    3.32    9.333    3    -1.494    2.387    5.078    7.459    1.143    7.865    1.115    2.28    1.819    0.127    10.1021/acscatal.8b04478
O_Ru_211_bridge2-s    -0.208    2.732    2.683    1.05    3.87    7.0    2    -1.158    1.939    4.889    7.361    1.046    7.152    0.809    2.2    1.745    0.269    10.1021/acscatal.8b04478
O_Ru_211_fcc-s    0.25    2.732    2.692    1.05    3.87    8.333    3    -1.296    2.07    4.889    7.361    1.046    7.095    0.871    2.2    1.457    0.185    10.1021/acscatal.8b04478
O_Ru_211_fcc-t    0.276    2.732    2.715    1.05    3.87    9.667    3    -1.354    2.173    4.889    7.361    1.046    7.072    0.932    2.2    1.343    0.13    10.1021/acscatal.8b04478
O_Ru_211_hcp-s    -0.298    2.732    2.687    1.05    3.87    7.667    3    -1.227    2.004    4.889    7.361    1.046    7.123    0.84    2.2    1.601    0.227    10.1021/acscatal.8b04478
O_Ru_211_hcp-t    -0.041    2.732    2.706    1.05    3.87    9.333    3    -1.359    2.154    4.889    7.361    1.046    7.068    0.917    2.2    1.328    0.137    10.1021/acscatal.8b04478
OH_Ag_211_bridge1-t    0.604    2.985    2.978    0.89    2.26    9.5    2    -4.055    1.127    4.427    7.576    1.304    9.843    1.177    1.93    0.041    0.272    10.1021/acscatal.8b04478
OH_Ag_211_bridge2-s    0.332    2.985    2.946    0.89    2.26    7.0    2    -4.008    0.934    4.427    7.576    1.304    9.856    1.051    1.93    0.031    0.29    10.1021/acscatal.8b04478
OH_Ag_211_bridge2-t    0.612    2.985    2.972    0.89    2.26    9.0    2    -4.033    1.122    4.427    7.576    1.304    9.843    1.148    1.93    0.04    0.281    10.1021/acscatal.8b04478
OH_Ag_211_fcc-s    0.446    2.985    2.963    0.89    2.26    8.333    3    -4.024    1.059    4.427    7.576    1.304    9.85    1.116    1.93    0.037    0.284    10.1021/acscatal.8b04478
OH_Ag_211_fcc-t    0.585    2.985    2.98    0.89    2.26    9.667    3    -4.062    1.129    4.427    7.576    1.304    9.842    1.186    1.93    0.041    0.268    10.1021/acscatal.8b04478
OH_Ag_211_hcp-s    0.38    2.985    2.955    0.89    2.26    7.667    3    -4.016    0.996    4.427    7.576    1.304    9.853    1.084    1.93    0.034    0.287    10.1021/acscatal.8b04478
OH_Ag_211_hcp-t    0.558    2.985    2.976    0.89    2.26    9.333    3    -4.047    1.126    4.427    7.576    1.304    9.841    1.167    1.93    0.04    0.275    10.1021/acscatal.8b04478
OH_Ag_211_top-s    0.896    2.985    2.946    0.89    2.26    7.0    1    -4.008    0.934    4.427    7.576    1.304    9.865    1.051    1.93    0.031    0.29    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge1-s-1    0.401    2.603    2.668    0.78    1.63    8.0    2    -3.27    1.076    4.685    7.651    1.27    9.752    1.067    1.915    0.074    0.256    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge1-s-2    0.11    2.603    2.578    0.67    1.0    8.0    2    -2.358    0.999    4.685    7.726    1.236    9.758    1.211    1.9    0.096    0.271    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge1-s-3    0.196    2.603    2.563    0.67    1.0    8.0    2    -2.364    1.043    4.685    7.726    1.236    9.774    1.204    1.9    0.097    0.266    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge1-t-1    0.356    2.603    2.602    0.67    1.0    9.5    2    -2.444    1.082    4.685    7.726    1.236    9.733    1.284    1.9    0.104    0.241    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge1-t-2    0.367    2.603    2.6    0.67    1.0    9.5    2    -2.436    1.078    4.685    7.726    1.236    9.725    1.267    1.9    0.105    0.238    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge1-t-3    0.385    2.603    2.585    0.67    1.0    9.5    2    -2.442    1.122    4.685    7.726    1.236    9.742    1.261    1.9    0.106    0.233    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge2-s-1    -0.014    2.603    2.642    0.78    1.63    7.0    2    -3.229    1.054    4.685    7.651    1.27    9.791    1.03    1.915    0.066    0.274    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge2-s-2    -0.235    2.603    2.552    0.67    1.0    7.0    2    -2.316    0.977    4.685    7.726    1.236    9.796    1.173    1.9    0.089    0.29    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge2-t-1    0.158    2.603    2.603    0.67    1.0    9.0    2    -2.399    1.02    4.685    7.726    1.236    9.719    1.248    1.9    0.104    0.253    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge2-t-2    0.284    2.603    2.588    0.67    1.0    9.0    2    -2.405    1.064    4.685    7.726    1.236    9.735    1.242    1.9    0.105    0.248    10.1021/acscatal.8b04478
OH_Ag@Cu_211_bridge3-s-2    0.169    2.603    2.575    0.67    1.0    8.5    2    -2.394    1.056    4.685    7.726    1.236    9.764    1.23    1.9    0.097    0.257    10.1021/acscatal.8b04478
OH_Ag@Cu_211_fcc-s-2    0.094    2.603    2.576    0.67    1.0    8.333    3    -2.375    1.035    4.685    7.726    1.236    9.756    1.219    1.9    0.099    0.262    10.1021/acscatal.8b04478
OH_Ag@Cu_211_fcc-t-2    0.441    2.603    2.589    0.67    1.0    9.667    3    -2.452    1.126    4.685    7.726    1.236    9.739    1.269    1.9    0.106    0.23    10.1021/acscatal.8b04478
OH_Ag@Cu_211_hcp-t-2    0.317    2.603    2.591    0.67    1.0    9.333    3    -2.427    1.088    4.685    7.726    1.236    9.734    1.257    1.9    0.105    0.24    10.1021/acscatal.8b04478
OH_Ag@Cu_211_top-s-1    0.939    2.603    2.732    0.89    2.26    7.0    1    -4.141    1.131    4.685    7.576    1.304    9.785    0.887    1.93    0.043    0.259    10.1021/acscatal.8b04478
OH_Ag@Cu_211_top-s-2    -0.016    2.603    2.552    0.67    1.0    7.0    1    -2.316    0.977    4.685    7.726    1.236    9.796    1.173    1.9    0.089    0.29    10.1021/acscatal.8b04478
OH_Ag@Cu_211_top-t-2    0.651    2.603    2.573    0.67    1.0    9.0    1    -2.411    1.108    4.685    7.726    1.236    9.752    1.236    1.9    0.106    0.243    10.1021/acscatal.8b04478
OH_AgAu_211_bridge1-s-1    0.93    2.973    2.961    0.95    2.805    8.0    2    -3.575    1.195    4.839    8.401    1.807    9.775    1.157    2.235    0.061    0.248    10.1021/acscatal.8b04478
OH_AgAu_211_bridge1-s-2    0.791    2.973    2.965    0.89    2.26    8.0    2    -3.847    1.079    4.839    7.576    1.304    9.824    1.038    1.93    0.042    0.223    10.1021/acscatal.8b04478
OH_AgAu_211_bridge1-s-3    0.938    2.973    2.948    0.95    2.805    8.0    2    -3.552    1.203    4.839    8.401    1.807    9.775    1.169    2.235    0.058    0.266    10.1021/acscatal.8b04478
OH_AgAu_211_bridge1-s-4    1.103    2.973    2.945    1.01    3.35    8.0    2    -3.281    1.318    4.839    9.226    2.309    9.726    1.288    2.54    0.076    0.292    10.1021/acscatal.8b04478
OH_AgAu_211_bridge1-t-1    1.239    2.973    2.968    1.01    3.35    9.5    2    -3.404    1.398    4.839    9.226    2.309    9.705    1.353    2.54    0.085    0.263    10.1021/acscatal.8b04478
OH_AgAu_211_bridge1-t-2    1.061    2.973    2.971    0.95    2.805    9.5    2    -3.675    1.283    4.839    8.401    1.807    9.754    1.233    2.235    0.066    0.237    10.1021/acscatal.8b04478
OH_AgAu_211_bridge1-t-3    0.924    2.973    2.982    0.89    2.26    9.5    2    -3.901    1.178    4.839    7.576    1.304    9.796    1.115    1.93    0.048    0.215    10.1021/acscatal.8b04478
OH_AgAu_211_bridge1-t-4    1.067    2.973    2.979    0.95    2.805    9.5    2    -3.629    1.294    4.839    8.401    1.807    9.747    1.235    2.235    0.067    0.24    10.1021/acscatal.8b04478
OH_AgAu_211_bridge2-s-1    0.571    2.973    2.941    0.95    2.805    7.0    2    -3.514    1.131    4.839    8.401    1.807    9.79    1.114    2.235    0.053    0.268    10.1021/acscatal.8b04478
OH_AgAu_211_bridge2-s-2    0.592    2.973    2.941    0.95    2.805    7.0    2    -3.514    1.131    4.839    8.401    1.807    9.79    1.114    2.235    0.053    0.268    10.1021/acscatal.8b04478
OH_AgAu_211_bridge2-t-1    0.982    2.973    2.968    0.95    2.805    9.0    2    -3.614    1.266    4.839    8.401    1.807    9.76    1.212    2.235    0.065    0.246    10.1021/acscatal.8b04478
OH_AgAu_211_bridge2-t-2    0.973    2.973    2.968    0.95    2.805    9.0    2    -3.614    1.266    4.839    8.401    1.807    9.76    1.212    2.235    0.065    0.246    10.1021/acscatal.8b04478
OH_AgAu_211_bridge3-s-1    0.843    2.973    2.958    0.95    2.805    8.5    2    -3.568    1.23    4.839    8.401    1.807    9.762    1.191    2.235    0.059    0.26    10.1021/acscatal.8b04478
OH_AgAu_211_bridge3-s-2    0.879    2.973    2.965    0.95    2.805    8.5    2    -3.637    1.211    4.839    8.401    1.807    9.769    1.178    2.235    0.062    0.239    10.1021/acscatal.8b04478
OH_AgAu_211_fcc-s-1    0.786    2.973    2.965    0.93    2.623    8.333    3    -3.679    1.18    4.839    8.126    1.639    9.786    1.136    2.133    0.056    0.239    10.1021/acscatal.8b04478
OH_AgAu_211_fcc-s-2    1.034    2.973    2.954    0.97    2.987    8.333    3    -3.482    1.262    4.839    8.676    1.974    9.754    1.223    2.337    0.066    0.268    10.1021/acscatal.8b04478
OH_AgAu_211_hcp-s-2    0.717    2.973    2.951    0.93    2.623    7.667    3    -3.638    1.138    4.839    8.126    1.639    9.796    1.107    2.133    0.051    0.253    10.1021/acscatal.8b04478
OH_AgAu_211_hcp-t-2    0.979    2.973    2.976    0.93    2.623    9.333    3    -3.715    1.246    4.839    8.126    1.639    9.768    1.187    2.133    0.06    0.233    10.1021/acscatal.8b04478
OH_AgAu_211_top-s-1    1.201    2.973    2.958    0.89    2.26    7.0    1    -3.808    1.008    4.839    7.576    1.304    9.839    0.983    1.93    0.038    0.225    10.1021/acscatal.8b04478
OH_AgPd_211_bridge1-s-1    0.748    2.883    2.878    0.915    2.52    8.0    2    -2.423    1.19    4.895    7.957    0.933    9.641    0.842    2.065    0.326    0.176    10.1021/acscatal.8b04478
OH_AgPd_211_bridge1-s-2    0.91    2.883    2.893    0.89    2.26    8.0    2    -3.482    1.036    4.895    7.576    1.304    9.862    0.921    1.93    0.043    0.184    10.1021/acscatal.8b04478
OH_AgPd_211_bridge1-s-3    0.766    2.883    2.867    0.915    2.52    8.0    2    -2.369    1.179    4.895    7.957    0.933    9.66    0.851    2.065    0.268    0.177    10.1021/acscatal.8b04478
OH_AgPd_211_bridge1-s-4    0.598    2.883    2.853    0.94    2.78    8.0    2    -1.31    1.332    4.895    8.337    0.562    9.439    0.772    2.2    0.55    0.169    10.1021/acscatal.8b04478
OH_AgPd_211_bridge1-t-1    0.723    2.883    2.873    0.94    2.78    9.5    2    -1.408    1.429    4.895    8.337    0.562    9.401    0.839    2.2    0.566    0.156    10.1021/acscatal.8b04478
OH_AgPd_211_bridge1-t-4    0.926    2.883    2.885    0.915    2.52    9.5    2    -2.456    1.276    4.895    7.957    0.933    9.627    0.921    2.065    0.336    0.149    10.1021/acscatal.8b04478
OH_AgPd_211_bridge2-s-1    0.451    2.883    2.866    0.915    2.52    7.0    2    -2.343    1.118    4.895    7.957    0.933    9.672    0.795    2.065    0.262    0.193    10.1021/acscatal.8b04478
OH_AgPd_211_bridge2-s-2    0.442    2.883    2.866    0.915    2.52    7.0    2    -2.343    1.118    4.895    7.957    0.933    9.672    0.795    2.065    0.262    0.193    10.1021/acscatal.8b04478
OH_AgPd_211_bridge2-t-1    0.72    2.883    2.879    0.915    2.52    9.0    2    -2.449    1.25    4.895    7.957    0.933    9.629    0.898    2.065    0.331    0.16    10.1021/acscatal.8b04478
OH_AgPd_211_bridge2-t-2    0.877    2.883    2.879    0.915    2.52    9.0    2    -2.449    1.25    4.895    7.957    0.933    9.629    0.898    2.065    0.331    0.16    10.1021/acscatal.8b04478
OH_AgPd_211_bridge3-s-1    0.681    2.883    2.887    0.915    2.52    8.5    2    -2.441    1.215    4.895    7.957    0.933    9.634    0.862    2.065    0.278    0.18    10.1021/acscatal.8b04478
OH_AgPd_211_bridge3-s-2    0.727    2.883    2.872    0.915    2.52    8.5    2    -2.376    1.204    4.895    7.957    0.933    9.657    0.875    2.065    0.272    0.166    10.1021/acscatal.8b04478
OH_AgPd_211_fcc-s-1    0.691    2.883    2.884    0.907    2.433    8.333    3    -2.785    1.159    4.895    7.83    1.057    9.711    0.887    2.02    0.233    0.173    10.1021/acscatal.8b04478
OH_AgPd_211_hcp-s-2    0.584    2.883    2.866    0.923    2.607    7.667    3    -2.026    1.214    4.895    8.083    0.809    9.584    0.803    2.11    0.379    0.179    10.1021/acscatal.8b04478
OH_AgPd_211_top-s-1    1.217    2.883    2.892    0.89    2.26    7.0    1    -3.456    0.976    4.895    7.576    1.304    9.873    0.865    1.93    0.037    0.2    10.1021/acscatal.8b04478
OH_AgPd_211_top-s-2    0.77    2.883    2.84    0.94    2.78    7.0    1    -1.231    1.261    4.895    8.337    0.562    9.47    0.726    2.2    0.486    0.186    10.1021/acscatal.8b04478
OH_AgPd_211_top-t-1    0.92    2.883    2.865    0.94    2.78    9.0    1    -1.39    1.404    4.895    8.337    0.562    9.409    0.818    2.2    0.614    0.152    10.1021/acscatal.8b04478
OH_AgPd_211_top-t-2    1.339    2.883    2.894    0.89    2.26    9.0    1    -3.508    1.097    4.895    7.576    1.304    9.85    0.977    1.93    0.049    0.168    10.1021/acscatal.8b04478
OH_Au_211_bridge1-s    1.161    2.99    2.959    1.01    3.35    8.0    2    -3.168    1.377    5.28    9.226    2.309    9.734    1.24    2.54    0.088    0.247    10.1021/acscatal.8b04478
OH_Au_211_bridge1-t    1.341    2.99    2.99    1.01    3.35    9.5    2    -3.264    1.449    5.28    9.226    2.309    9.72    1.297    2.54    0.098    0.223    10.1021/acscatal.8b04478
OH_Au_211_bridge2-s    0.742    2.99    2.936    1.01    3.35    7.0    2    -3.127    1.323    5.28    9.226    2.309    9.732    1.2    2.54    0.079    0.26    10.1021/acscatal.8b04478
OH_Au_211_bridge2-t    1.217    2.99    2.982    1.01    3.35    9.0    2    -3.21    1.432    5.28    9.226    2.309    9.733    1.281    2.54    0.097    0.233    10.1021/acscatal.8b04478
OH_Au_211_bridge3-s    1.011    2.99    2.967    1.01    3.35    8.5    2    -3.223    1.395    5.28    9.226    2.309    9.714    1.257    2.54    0.088    0.237    10.1021/acscatal.8b04478
OH_Au_211_fcc-s    1.168    2.99    2.967    1.01    3.35    8.333    3    -3.182    1.396    5.28    9.226    2.309    9.734    1.254    2.54    0.091    0.242    10.1021/acscatal.8b04478
OH_Au_211_fcc-t    1.444    2.99    2.993    1.01    3.35    9.667    3    -3.283    1.455    5.28    9.226    2.309    9.715    1.303    2.54    0.098    0.22    10.1021/acscatal.8b04478
OH_Au_211_top-s    1.185    2.99    2.936    1.01    3.35    7.0    1    -3.127    1.323    5.28    9.226    2.309    9.736    1.201    2.54    0.079    0.26    10.1021/acscatal.8b04478
OH_Au_211_top-t    1.397    2.99    2.982    1.01    3.35    9.0    1    -3.21    1.433    5.28    9.226    2.309    9.726    1.281    2.54    0.097    0.233    10.1021/acscatal.8b04478
OH_Au@Ni_211_bridge1-s-2    0.027    2.502    2.488    0.71    1.16    8.0    2    -1.186    1.73    5.04    7.64    1.157    8.732    1.216    1.91    2.028    0.18    10.1021/acscatal.8b04478
OH_Au@Ni_211_bridge1-s-3    -0.014    2.502    2.469    0.71    1.16    8.0    2    -1.214    1.751    5.04    7.64    1.157    8.74    1.223    1.91    1.989    0.179    10.1021/acscatal.8b04478
OH_Au@Ni_211_bridge1-t-1    0.342    2.502    2.512    0.71    1.16    9.5    2    -1.243    1.845    5.04    7.64    1.157    8.681    1.295    1.91    1.863    0.132    10.1021/acscatal.8b04478
OH_Au@Ni_211_bridge1-t-2    0.251    2.502    2.505    0.71    1.16    9.5    2    -1.261    1.844    5.04    7.64    1.157    8.712    1.29    1.91    1.919    0.13    10.1021/acscatal.8b04478
OH_Au@Ni_211_bridge1-t-3    0.218    2.502    2.486    0.71    1.16    9.5    2    -1.29    1.866    5.04    7.64    1.157    8.707    1.296    1.91    1.875    0.128    10.1021/acscatal.8b04478
OH_Au@Ni_211_bridge2-s-2    -0.606    2.502    2.465    0.71    1.16    7.0    2    -1.149    1.674    5.04    7.64    1.157    8.768    1.173    1.91    2.065    0.214    10.1021/acscatal.8b04478
OH_Au@Ni_211_bridge2-t-1    0.071    2.502    2.511    0.71    1.16    9.0    2    -1.22    1.787    5.04    7.64    1.157    8.699    1.261    1.91    2.0    0.145    10.1021/acscatal.8b04478
OH_Au@Ni_211_bridge2-t-2    -0.016    2.502    2.492    0.71    1.16    9.0    2    -1.251    1.808    5.04    7.64    1.157    8.705    1.267    1.91    1.952    0.144    10.1021/acscatal.8b04478
OH_Au@Ni_211_bridge3-s-2    0.029    2.502    2.482    0.71    1.16    8.5    2    -1.226    1.788    5.04    7.64    1.157    8.738    1.246    1.91    1.95    0.164    10.1021/acscatal.8b04478
OH_Au@Ni_211_fcc-s-2    -0.107    2.502    2.483    0.71    1.16    8.333    3    -1.218    1.763    5.04    7.64    1.157    8.723    1.235    1.91    1.988    0.167    10.1021/acscatal.8b04478
OH_Au@Ni_211_fcc-t-2    0.362    2.502    2.491    0.71    1.16    9.667    3    -1.294    1.878    5.04    7.64    1.157    8.711    1.304    1.91    1.864    0.124    10.1021/acscatal.8b04478
OH_Au@Ni_211_hcp-s-2    -0.249    2.502    2.468    0.71    1.16    7.667    3    -1.193    1.726    5.04    7.64    1.157    8.746    1.206    1.91    2.012    0.19    10.1021/acscatal.8b04478
OH_Au@Ni_211_hcp-t-1    0.28    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    5.04    7.64    1.157    8.689    1.283    1.91    1.907    0.137    10.1021/acscatal.8b04478
OH_Au@Ni_211_hcp-t-2    0.176    2.502    2.495    0.71    1.16    9.333    3    -1.268    1.839    5.04    7.64    1.157    8.709    1.284    1.91    1.915    0.134    10.1021/acscatal.8b04478
OH_Au@Ni_211_top-s-1    0.98    2.502    2.679    1.01    3.35    7.0    1    -3.455    1.525    5.04    9.226    2.309    9.565    1.159    2.54    0.197    0.21    10.1021/acscatal.8b04478
OH_Au@Ni_211_top-t-1    0.447    2.502    2.511    0.71    1.16    9.0    1    -1.219    1.787    5.04    7.64    1.157    8.693    1.261    1.91    2.003    0.145    10.1021/acscatal.8b04478
OH_Au@Ni_211_top-t-2    0.441    2.502    2.473    0.71    1.16    9.0    1    -1.281    1.83    5.04    7.64    1.157    8.704    1.273    1.91    1.907    0.143    10.1021/acscatal.8b04478
OH_Co_0001_bridge1-t    0.078    2.504    2.496    0.76    1.34    9.5    2    -1.217    2.064    4.819    7.881    0.662    7.727    1.263    1.88    1.026    0.151    this work
OH_Co_0001_bridge2-s    -0.8    2.504    2.464    0.76    1.34    7.0    2    -1.211    1.88    4.819    7.881    0.662    7.65    1.134    1.88    1.116    0.239    this work
OH_Co_0001_bridge3-s    -0.121    2.504    2.484    0.76    1.34    8.5    2    -1.223    1.991    4.819    7.881    0.662    7.686    1.217    1.88    1.065    0.189    this work
OH_Co_0001_fcc-s    -0.208    2.504    2.472    0.76    1.34    8.333    3    -1.198    1.977    4.819    7.881    0.662    7.696    1.229    1.88    1.103    0.212    this work
OH_Co_0001_fcc-t    -0.04    2.504    2.492    0.76    1.34    9.333    3    -1.211    2.051    4.819    7.881    0.662    7.73    1.25    1.88    1.029    0.156    this work
OH_Co_0001_hcp-s    -0.537    2.504    2.468    0.76    1.34    7.667    3    -1.205    1.929    4.819    7.881    0.662    7.672    1.181    1.88    1.109    0.225    this work
OH_Co_0001_hcp-t    0.114    2.504    2.499    0.76    1.34    9.667    3    -1.223    2.078    4.819    7.881    0.662    7.719    1.275    1.88    1.022    0.147    this work
