Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
C_Pd@Ir_211_fcc-s-2    2.038    2.753    2.708    1.08    4.45    8.333    3    -1.881    2.611    5.462    9.121    1.564    7.715    1.264    2.2    1.446    0.175    10.1021/acscatal.8b04478
C_Pd@Ir_211_fcc-t-1    2.19    2.753    2.741    1.08    4.45    9.667    3    -1.974    2.689    5.462    9.121    1.564    7.696    1.311    2.2    1.347    0.117    10.1021/acscatal.8b04478
C_Pd@Ir_211_fcc-t-2    2.182    2.753    2.738    1.08    4.45    9.667    3    -2.002    2.753    5.462    9.121    1.564    7.677    1.317    2.2    1.302    0.108    10.1021/acscatal.8b04478
C_Pd@Ir_211_four-fold-s-1    1.673    2.753    2.746    1.045    4.032    8.5    4    -1.954    2.371    5.462    8.925    1.314    8.1    1.169    2.2    1.257    0.161    10.1021/acscatal.8b04478
C_Pd@Ir_211_four-fold-s-2    1.786    2.753    2.723    1.08    4.45    8.5    4    -1.863    2.581    5.462    9.121    1.564    7.743    1.265    2.2    1.479    0.182    10.1021/acscatal.8b04478
C_Pd@Ir_211_hcp-s-1    1.827    2.753    2.736    1.033    3.893    7.667    3    -1.923    2.212    5.462    8.86    1.23    8.232    1.109    2.2    1.243    0.192    10.1021/acscatal.8b04478
C_Pd@Ir_211_hcp-s-2    1.588    2.753    2.697    1.08    4.45    7.667    3    -1.806    2.55    5.462    9.121    1.564    7.751    1.234    2.2    1.541    0.215    10.1021/acscatal.8b04478
C_Pd@Ir_211_hcp-t-1    1.772    2.753    2.732    1.08    4.45    9.333    3    -1.95    2.648    5.462    9.121    1.564    7.697    1.299    2.2    1.372    0.13    10.1021/acscatal.8b04478
C_Pd@Ir_211_hcp-t-2    2.028    2.753    2.729    1.08    4.45    9.333    3    -1.978    2.712    5.462    9.121    1.564    7.678    1.305    2.2    1.326    0.121    10.1021/acscatal.8b04478
C_Pt_211_bridge2-s    2.397    2.838    2.781    1.04    3.9    7.0    2    -1.895    1.891    5.75    8.959    2.125    8.812    1.101    2.28    1.72    0.176    10.1021/acscatal.8b04478
C_Pt_211_fcc-s    1.995    2.838    2.807    1.04    3.9    8.333    3    -1.989    2.003    5.75    8.959    2.125    8.786    1.167    2.28    1.766    0.145    10.1021/acscatal.8b04478
C_Pt_211_fcc-t    2.375    2.838    2.842    1.04    3.9    9.667    3    -2.076    2.073    5.75    8.959    2.125    8.792    1.219    2.28    1.579    0.106    10.1021/acscatal.8b04478
C_Pt_211_four-fold-s    1.969    2.838    2.817    1.04    3.9    8.5    4    -1.995    1.985    5.75    8.959    2.125    8.806    1.165    2.28    1.597    0.135    10.1021/acscatal.8b04478
C_Pt_211_hcp-s    1.915    2.838    2.794    1.04    3.9    7.667    3    -1.942    1.947    5.75    8.959    2.125    8.8    1.133    2.28    1.742    0.16    10.1021/acscatal.8b04478
C_Pt_211_hcp-t    2.279    2.838    2.831    1.04    3.9    9.333    3    -2.056    2.066    5.75    8.959    2.125    8.78    1.21    2.28    1.684    0.118    10.1021/acscatal.8b04478
C_Pt@Rh_211_bridge2-s-1    2.417    2.734    2.714    1.015    3.61    7.0    2    -1.667    1.96    5.191    8.209    1.634    8.369    1.009    2.28    1.633    0.221    10.1021/acscatal.8b04478
C_Pt@Rh_211_fcc-s-1    2.192    2.734    2.72    1.007    3.513    8.333    3    -1.66    2.171    5.191    7.959    1.47    8.173    1.081    2.28    1.629    0.163    10.1021/acscatal.8b04478
C_Pt@Rh_211_fcc-s-2    1.96    2.734    2.704    0.99    3.32    8.333    3    -1.418    2.273    5.191    7.459    1.143    7.892    1.074    2.28    1.975    0.168    10.1021/acscatal.8b04478
C_Pt@Rh_211_fcc-t-1    2.078    2.734    2.727    0.99    3.32    9.667    3    -1.484    2.446    5.191    7.459    1.143    7.849    1.141    2.28    1.818    0.117    10.1021/acscatal.8b04478
C_Pt@Rh_211_fcc-t-2    2.038    2.734    2.722    0.99    3.32    9.667    3    -1.497    2.45    5.191    7.459    1.143    7.841    1.123    2.28    1.822    0.115    10.1021/acscatal.8b04478
C_Pt@Rh_211_four-fold-s-1    1.461    2.734    2.724    1.003    3.465    8.5    4    -1.579    2.227    5.191    7.834    1.388    8.104    1.081    2.28    1.707    0.164    10.1021/acscatal.8b04478
C_Pt@Rh_211_four-fold-s-2    1.224    2.734    2.713    0.99    3.32    8.5    4    -1.396    2.301    5.191    7.459    1.143    7.893    1.074    2.28    1.975    0.168    10.1021/acscatal.8b04478
C_Pt@Rh_211_hcp-s-1    1.776    2.734    2.714    1.007    3.513    7.667    3    -1.601    2.09    5.191    7.959    1.47    8.201    1.045    2.28    1.719    0.194    10.1021/acscatal.8b04478
C_Pt@Rh_211_hcp-s-2    1.497    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.192    5.191    7.459    1.143    7.921    1.038    2.28    2.064    0.199    10.1021/acscatal.8b04478
C_Pt@Rh_211_hcp-t-1    1.895    2.734    2.721    0.99    3.32    9.333    3    -1.474    2.398    5.191    7.459    1.143    7.86    1.134    2.28    1.85    0.129    10.1021/acscatal.8b04478
C_Pt@Rh_211_hcp-t-2    1.869    2.734    2.716    0.99    3.32    9.333    3    -1.487    2.402    5.191    7.459    1.143    7.852    1.116    2.28    1.854    0.127    10.1021/acscatal.8b04478
C_PtRh_211_bridge2-s-1    2.244    2.783    2.739    1.015    3.61    7.0    2    -1.617    1.974    5.395    8.209    1.634    8.421    1.065    2.28    1.865    0.212    10.1021/acscatal.8b04478
C_PtRh_211_bridge2-s-2    2.256    2.783    2.739    1.015    3.61    7.0    2    -1.617    1.974    5.395    8.209    1.634    8.421    1.065    2.28    1.865    0.212    10.1021/acscatal.8b04478
C_PtRh_211_fcc-s-1    2.149    2.783    2.758    1.023    3.707    8.333    3    -1.871    2.11    5.395    8.459    1.798    8.491    1.122    2.28    1.803    0.159    10.1021/acscatal.8b04478
C_PtRh_211_fcc-s-2    1.865    2.783    2.75    1.007    3.513    8.333    3    -1.619    2.166    5.395    7.959    1.47    8.23    1.143    2.28    2.133    0.16    10.1021/acscatal.8b04478
C_PtRh_211_fcc-t-1    2.103    2.783    2.779    1.007    3.513    9.667    3    -1.69    2.284    5.395    7.959    1.47    8.177    1.208    2.28    2.017    0.114    10.1021/acscatal.8b04478
C_PtRh_211_fcc-t-2    2.386    2.783    2.785    1.023    3.707    9.667    3    -1.955    2.239    5.395    8.459    1.798    8.442    1.177    2.28    1.687    0.11    10.1021/acscatal.8b04478
C_PtRh_211_four-fold-s-1    1.772    2.783    2.766    1.015    3.61    8.5    4    -1.723    2.128    5.395    8.209    1.634    8.36    1.135    2.28    1.817    0.156    10.1021/acscatal.8b04478
C_PtRh_211_four-fold-s-2    1.57    2.783    2.766    1.015    3.61    8.5    4    -1.723    2.128    5.395    8.209    1.634    8.36    1.135    2.28    1.817    0.156    10.1021/acscatal.8b04478
C_PtRh_211_hcp-s-1    1.656    2.783    2.744    1.007    3.513    7.667    3    -1.549    2.078    5.395    7.959    1.47    8.258    1.115    2.28    2.082    0.188    10.1021/acscatal.8b04478
C_PtRh_211_hcp-s-2    1.89    2.783    2.749    1.023    3.707    7.667    3    -1.814    2.034    5.395    8.459    1.798    8.523    1.083    2.28    1.752    0.184    10.1021/acscatal.8b04478
C_PtRh_211_hcp-t-1    1.942    2.783    2.77    1.007    3.513    9.333    3    -1.666    2.268    5.395    7.959    1.47    8.19    1.2    2.28    2.076    0.126    10.1021/acscatal.8b04478
C_PtRh_211_hcp-t-2    2.286    2.783    2.773    1.023    3.707    9.333    3    -1.966    2.213    5.395    8.459    1.798    8.449    1.158    2.28    1.796    0.119    10.1021/acscatal.8b04478
C_Rh_211_fcc-s    1.946    2.734    2.703    0.99    3.32    8.333    3    -1.426    2.27    5.078    7.459    1.143    7.906    1.063    2.28    1.918    0.171    10.1021/acscatal.8b04478
C_Rh_211_fcc-t    2.009    2.734    2.725    0.99    3.32    9.667    3    -1.496    2.419    5.078    7.459    1.143    7.858    1.13    2.28    1.796    0.116    10.1021/acscatal.8b04478
C_Rh_211_four-fold-s    1.222    2.734    2.714    0.99    3.32    8.5    4    -1.395    2.276    5.078    7.459    1.143    7.91    1.066    2.28    1.921    0.173    10.1021/acscatal.8b04478
C_Rh_211_hcp-s    1.496    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.184    5.078    7.459    1.143    7.937    1.025    2.28    1.994    0.206    10.1021/acscatal.8b04478
C_Rh_211_hcp-t    1.859    2.734    2.716    0.99    3.32    9.333    3    -1.494    2.387    5.078    7.459    1.143    7.865    1.115    2.28    1.819    0.127    10.1021/acscatal.8b04478
C_Ru_211_fcc-s    2.275    2.732    2.692    1.05    3.87    8.333    3    -1.296    2.07    4.889    7.361    1.046    7.095    0.871    2.2    1.457    0.185    10.1021/acscatal.8b04478
C_Ru_211_four-fold-s    1.049    2.732    2.703    1.05    3.87    8.5    4    -1.253    2.065    4.889    7.361    1.046    7.114    0.878    2.2    1.552    0.196    10.1021/acscatal.8b04478
C_Ru_211_hcp-s    1.375    2.732    2.687    1.05    3.87    7.667    3    -1.227    2.004    4.889    7.361    1.046    7.123    0.84    2.2    1.601    0.227    10.1021/acscatal.8b04478
C_Ru_211_hcp-t    1.639    2.732    2.706    1.05    3.87    9.333    3    -1.359    2.154    4.889    7.361    1.046    7.068    0.917    2.2    1.328    0.137    10.1021/acscatal.8b04478
CH_Ag_211_bridge2-s    4.719    2.985    2.946    0.89    2.26    7.0    2    -4.008    0.934    4.427    7.576    1.304    9.856    1.051    1.93    0.031    0.29    10.1021/acscatal.8b04478
CH_Ag_211_fcc-s    4.133    2.985    2.963    0.89    2.26    8.333    3    -4.024    1.059    4.427    7.576    1.304    9.85    1.116    1.93    0.037    0.284    10.1021/acscatal.8b04478
CH_Ag_211_four-fold-s    3.798    2.985    2.965    0.89    2.26    8.5    4    -4.042    1.034    4.427    7.576    1.304    9.847    1.128    1.93    0.037    0.276    10.1021/acscatal.8b04478
CH_Ag_211_hcp-s    4.143    2.985    2.955    0.89    2.26    7.667    3    -4.016    0.996    4.427    7.576    1.304    9.853    1.084    1.93    0.034    0.287    10.1021/acscatal.8b04478
CH_Ag_211_hcp-t    4.162    2.985    2.976    0.89    2.26    9.333    3    -4.047    1.126    4.427    7.576    1.304    9.841    1.167    1.93    0.04    0.275    10.1021/acscatal.8b04478
CH_Ag@Cu_211_bridge2-s-1    4.073    2.603    2.642    0.78    1.63    7.0    2    -3.229    1.054    4.685    7.651    1.27    9.791    1.03    1.915    0.066    0.274    10.1021/acscatal.8b04478
CH_Ag@Cu_211_bridge2-s-2    3.506    2.603    2.552    0.67    1.0    7.0    2    -2.316    0.977    4.685    7.726    1.236    9.796    1.173    1.9    0.089    0.29    10.1021/acscatal.8b04478
CH_Ag@Cu_211_fcc-s-2    2.802    2.603    2.576    0.67    1.0    8.333    3    -2.375    1.035    4.685    7.726    1.236    9.756    1.219    1.9    0.099    0.262    10.1021/acscatal.8b04478
CH_Ag@Cu_211_four-fold-s-2    2.421    2.603    2.575    0.67    1.0    8.5    4    -2.394    1.056    4.685    7.726    1.236    9.764    1.23    1.9    0.097    0.257    10.1021/acscatal.8b04478
CH_Ag@Cu_211_hcp-s-2    2.827    2.603    2.559    0.67    1.0    7.667    3    -2.348    1.021    4.685    7.726    1.236    9.782    1.194    1.9    0.094    0.274    10.1021/acscatal.8b04478
CH_Ag@Cu_211_hcp-t-1    2.938    2.603    2.602    0.67    1.0    9.333    3    -2.429    1.061    4.685    7.726    1.236    9.728    1.272    1.9    0.104    0.245    10.1021/acscatal.8b04478
